AllGroups	Group	Subject	Version	BlockOrder	Block	PrimeTarget	Trial	List	Decision	CorrResp	Sign	Filename	View	Angle	from0	SignType	Item	PairChange	Difficulty	AngleChange	ACC	ErrorRate	RESP	RT	Priming	PercentFaster	AccChange	EXCLUDERT	EXCLUDEACC	ExclPractice	Excl135Deg	ExclOpposite	ExclItem	ExclSlow	ExclPairExcl	ExclIncorrect	ExclPairIncorr
L2_Fluent	M2L2	S132	V1a_F0_J1	5	Block4	target	74	120	edible	no	INFORMATION	INFORMATION_90R.avi	5	90R	90	2hs	240	0to90	harder	90	1	0	f	1716	762	0.44	0	0	0	0	0	0	0	0	0	0	0
L2_Fluent	M2L2	S132	V1a_F0_J1	3	Block2	prime	18	84	edible	no	INJECTION	INJECTION_45R.avi	3	45R	45	1h	204	45to0	easier	45	1	0	f	1666	-275	-0.14	0	0	0	0	0	0	0	0	0	0	0
L2_Fluent	M2L2	S132	V1a_F0_J1	5	Block4	target	25	84	edible	no	INJECTION	INJECTION_0.avi	1	0	0	1h	204	45to0	easier	45	1	0	f	1941	-275	-0.14	0	0	0	0	0	0	0	0	0	0	0
L2_Fluent	M2L2	S132	V1a_F0_J1	2	Block1	prime	56	43	living	yes	INTERPRETER	INTERPRETER_90L.avi	4	90L	90	2hs	43	90to0	easier	90	1	0	j	1940	513	0.36	0	0	0	0	0	0	0	0	0	0	0
L2_Fluent	M2L2	S132	V1a_F0_J1	4	Block3	target	92	43	living	yes	INTERPRETER	INTERPRETER_0.avi	1	0	0	2hs	43	90to0	easier	90	1	0	j	1427	513	0.36	0	0	0	0	0	0	0	0	0	0	0
L2_Fluent	M2L2	S132	V1a_F0_J1	3	Block2	prime	111	74	edible	no	IRON	IRON_90L.avi	4	90L	90	1h	194	90to90	same	0	1	0	f	2320	368	0.19	0	0	0	0	0	0	0	0	0	0	0
L2_Fluent	M2L2	S132	V1a_F0_J1	5	Block4	target	105	74	edible	no	IRON	IRON_90L.avi	4	90L	90	1h	194	90to90	same	0	1	0	f	1952	368	0.19	0	0	0	0	0	0	0	0	0	0	0
L2_Fluent	M2L2	S132	V1a_F0_J1	3	Block2	prime	20	31	edible	yes	JELLY	JELLY_45R.avi	3	45R	45	2hs	151	45to90	harder	45	1	0	j	1606	-79	-0.05	0	0	0	0	0	0	0	0	0	0	0
L2_Fluent	M2L2	S132	V1a_F0_J1	5	Block4	target	101	31	edible	yes	JELLY	JELLY_90R.avi	5	90R	90	2hs	151	45to90	harder	45	1	0	j	1685	-79	-0.05	0	0	0	0	0	0	0	0	0	0	0
L2_Fluent	M2L2	S132	V1a_F0_J1	3	Block2	prime	98	57	edible	yes	JUICE	JUICE_90R.avi	5	90R	90	2hd	177	90to0	easier	90	0	1	f	2992	324	0.12	0	1	1	0	0	0	1	0	0	1	1
L2_Fluent	M2L2	S132	V1a_F0_J1	5	Block4	target	43	57	edible	yes	JUICE	JUICE_0.avi	1	0	0	2hd	177	90to0	easier	90	0	1	f	2668	324	0.12	0	1	1	0	0	0	1	0	0	1	1
L2_Fluent	M2L2	S132	V1a_F0_J1	3	Block2	prime	100	85	edible	no	JUMPER	JUMPER_45L.avi	2	45L	45	2hs	205	45to0	easier	45	1	0	f	2472	498	0.25	0	0	0	0	0	0	0	0	0	0	0
